id,title,content,link,url_hash,language,source,category,vector,created_at,updated_at,split_type,cluster_label
145,"Koya University Wins First Place in Huawei's Annual ""ICT"" Competition","Koya University achieved first place in Huawei's annual ""ICT"" competition after participating in this event, held on December 15, 2024, in Jeddah, Saudi Arabia. The event, which took place at the regional level for the Middle East and Central Asia, saw Koya University as part of the Iraqi national team and earned first place in the ""Cloud Track"" category.",https://koyauniversity.org/node/1196,c9c11ae97890b34481455352c5864e091fe072a204c9518d57f42f077e21e097,en,Koya University,Research,,,,train,
146,"Koya University's Faculty of Science and Health Welcomes Delegation from ""Tishk"" International University","Koya University's Faculty of Science and Health welcomed a delegation from ""Tishk"" International University during an official visit. On Sunday, December 22, 2024, the delegation was led by Dr. Dogan Ozdemir, Dean of the Faculty of Education at Tishk International University, and Dr. Orhan Tog Serd, Head of the Department of Mathematics. They were received by Dr. Kosrat Najad Kakeh, Dean of the Faculty of Science and Health at Koya University, Mr. Jafar Majid Smail, Assistant Dean, along with the department heads and the Public Relations Manager.",https://koyauniversity.org/node/1201,e88ba57f25abf83234852568fab164b674447b183a81a8e16a34a82a50811298,en,Koya University,Research,,,,train,
147,"""Kurdistan Flag Day"" was prominently celebrated at the Faculty of Physical Education and Sports Sciences of Koya University","December 17th, designated by the Government of the Kurdistan Region as ""Kurdistan Flag Day,"" symbolizing the raising of the Kurdistan flag in Mahabad, the capital of the Kurdistan Region.",https://koyauniversity.org/node/1191,0dc271bc3a8f365632c5dbbf91fe1d4cc42b981f7da0ce25b4d9886a26d229be,en,Koya University,Research,,,,train,
148,The President of Koya University inaugurates several study halls at the Faculty of Physical Education and Sports Sciences,"Dr. Mohammed Haseeb Sidiq, the President of Koya University, inaugurated several projects, including the construction of four study halls, the renovation of the heating and cooling systems, and the preparation of facilities at the Faculty of Physical Education and Sports Sciences at Koya University.",https://koyauniversity.org/node/1186,4c85abbac3317675f760bf65ebfa2d44863d9248368c096e56f76a7309e7fc99,en,Koya University,Research,,,,train,
149,The President of Koya University inaugurates the Zumba Hall at the Faculty of Physical Education and Sports Sciences,"Dr. Mohammed Haseeb Sidiq, the President of Koya University, inaugurated the Zumba Hall at the Faculty of Physical Education and Sports Sciences at Koya University.",https://koyauniversity.org/node/1185,981522f6a1e7372aa9a4c0886b4b59e89ca426223e33863f2eb824430798e727,en,Koya University,Research,,,,train,
150,"Koya University Medical College Holds Meeting for Medical Students in Collaboration with ""Takvin"" Organization","The General Medical College of Koya University, in collaboration with the ""Takvin"" Organization, held a meeting for medical students on medical practices and the professional skills of this field.",https://koyauniversity.org/node/1187,07ec05a9569e6f092a110019668a7c5e550657274e76a62f6efc8df5c6aea12b,en,Koya University,Research,,,,train,
151,"The Book ""Quran and Mathematics"" by Student ""Andam Kakaziad introduced at Koya University","In a special ceremony, the Media Directorate of Koya University introduced the book ""Quran and Mathematics,"" authored by student ""Andam Kakaziad.""",https://koyauniversity.org/node/1172,b7a1c2a09f1697cfc4dd71b455395254888050bc70ca1161a2ed8a3d543fa77c,en,Koya University,Research,,,,train,
152,"A Koya University Professor Participates in the International Conference on ""Quran and Sunnah"" in Malaysia","Dr. Jabar Ahmad Abdulrahman, a faculty member in the Clinical Psychology Department of Koya University’s College of Health Sciences, participated in the Third International Conference titled ""Quran and Sunnah"" at the International Islamic University of Malaysia.",https://koyauniversity.org/node/1197,0294bdc79b4381b95177fad7945a8416795178c67ec0b8fca249bdc08118fdf9,en,Koya University,Research,,,,train,
153,A Koya University Professor Participates in an International Conference,"Dr. Zina Kamal Khorshid, a faculty member in the Geography Department of Koya University’s College of Education, participated in the 23rd Annual Conference titled ""Sustainability and Government Performance: Government Readiness for a Sustainable Future"" in Oman.",https://koyauniversity.org/node/1200,9bab35c8630f6c0352a3c2229e3cd7ee9287b7a29dd836709d5c15efa49fd7a1,en,Koya University,Research,,,,train,
154,"A Professor from Koya University’s Saves a Patient's Life","Dr. Bahaa Al-Din Qadir, a professor at the Faculty of General Medicine at Koya University, saved the life of a patient who was on the brink of death.",https://koyauniversity.org/node/1189,d91d42519f8e3a34f06692a07ab049b9ecf2b636ba4f6253f1eecd2054e58381,en,Koya University,Research,,,,train,
155,"""The Use of AI in Teaching English: Benefits and Challenges"" Workshop Held at the Faculty of Humanities and Social Sciences at Koya University","The Department of English at the Faculty of Humanities and Social Sciences, Koya University, organized a workshop titled ""The Use of AI in Teaching English: Benefits and Challenges.""",https://koyauniversity.org/node/1175,54483756ea46bcc9bb55cb7ff986f4fdf1893e6d010372ee742d1edefc472d8b,en,Koya University,Research,,,,train,
156,"""Kurds in the Perspectives of Religious Groups"" Workshop Held at Koya University","The Department of History at the Faculty of Education, Koya University, organized a workshop titled ""Kurds in the Perspectives of Religious Groups.""",https://koyauniversity.org/node/1178,2569a9f3ecf748c7aebfb9f36b09ec1c6279b873043178bf7c59f11c1312d9d2,en,Koya University,Research,,,,train,
157,"Workshop on ""Combating Corruption in the Light of Law and Sharia"" at Koya University","The Departments of Religious Education in the Faculty of Education and Law, in the Faculty of Social and Human Sciences at Koya University, organized a workshop titled ""Combating Corruption in the Light of Law and Sharia.""",https://koyauniversity.org/node/1190,19a26f8593efb7cdde1fc43db76efeeadb8d8deca9381eab4bdadca57ce4350f,en,Koya University,Research,,,,train,
158,"Workshop Titled ""The Role of Translation in Language and Literature"" Held at Koya University","The Kurdish Language Department at the Faculty of Education, Koya University, organized a workshop titled ""The Role of Translation in Language and Literature.""",https://koyauniversity.org/node/1184,1c9b2593e913cc8033b20ae48c10868e77430578c9e038a87d8aeb720a7586b1,en,Koya University,Research,,,,train,
159,"Workshop on How to Write High-Level Research Papers at the Faculty of Social and Human Sciences, Koya University","The Research Center for Social and Human Sciences, in collaboration with the research and development centers of Koya University, organized a workshop for the faculty members of the relevant college.",https://koyauniversity.org/node/1194,89e76c12d03bb50c8d871b5aab0a681aad664632ddfe29d35b8fab9c2f954384,en,Koya University,Research,,,,train,
160,President of Koya University Opens Computer Lab and Faculty Lounge in the College of Science and Health,"In a ceremony attended by the President of Koya University, Assist. Prof. Dr. Mohammed Haseeb Siddiq, and the Assistant President for Administrative and Financial Affairs, Assist. Prof. Dr. Yadgar Abdullah Ali, the computer lab and faculty lounge in the College of Science and Health were officially opened.",https://koyauniversity.org/node/1138,a3b57fae98bbb1945b394700041d5bd68df138ef3e8b1562ca3b1f114e306492,en,Koya University,Research,,,,train,
161,"Under the Supervision of the Bahar Center for English at Koya University, English Placement Tests Successfully Conducted","Over three days, the Bahar Center for English at Koya University supervised the English placement tests that were conducted online.",https://koyauniversity.org/node/1150,8c5b0f15ffeac6ebdb59ea23279f2e03db372e78deef9c392387cabb0fd45ff6,en,Koya University,Research,,,,train,
162,"Koya University's Petroleum Engineering Department Organizes a Workshop in Collaboration with the Petroleum and Gas Engineering Department at the Iraqi Technological University","The Petroleum Engineering Department at the Faculty of Engineering, Koya University, in collaboration with the Petroleum and Gas Engineering Department at the Iraqi Technological University, organized a workshop titled ""Perspectives on Iraq and Kurdistan's Oil and Gas Industry.""",https://koyauniversity.org/node/1159,ae5ce23db0f8a80fd75f77e834bb146b41014830102830acdf7818f6e18c29c8,en,Koya University,Research,,,,train,
163,"A Collaborative Research from Koya University Ranks Second Among 42,000 International Studies","A joint research study by two researchers from Koya University, in collaboration with researchers from the University of Oxford, the University of Buckingham in the UK, and the University of Seville in Spain, secured the second rank among 42,000 international studies.",https://koyauniversity.org/node/1147,1d03d657776a6c98deee1ab3081ba1ab647e51c0b654a0c77eb1481ab14b3a4f,en,Koya University,Research,,,,train,
164,Koya University Software Engineering Students Achieve Success in Huawei’s Annual Competition,"Thirteen students from the Software Engineering Department at the College of Engineering, Koya University, achieved success in Huawei's annual international competition, advancing to the second phase of the competition.",https://koyauniversity.org/node/1140,a0a6461e9fc1cc3091a0a895b702e9dd216c2d75153111b63c691a9a58749eb8,en,Koya University,Research,,,,train,
165,"Koya University's Green Initiative Featured at COP29","A delegation from Koya University, led by the university president, Asst. Prof. Dr. Mohammed Haseeb Siddiq participated in the United Nations Climate Change Conference (COP29) held in Azerbaijan.",https://koyauniversity.org/node/1148,48e27eb3bd1fbad45c3ba76c3286e8bf35244022fad4bd4f9833416f486c8eb9,en,Koya University,Research,,,,train,
166,Commencement of Registration Procedures for New Students at Koya University,"Following the announcement of Zankoline results by the Ministry of Higher Education and Scientific Research of the Kurdistan Regional Government, Koya University congratulates the newly admitted students and outlines the required documents for completing the registration process for the academic year 2024-2025.",https://koyauniversity.org/node/1131,1ec0b28c679b7b4c0846796e18bcbf37931062445a5bdf9ed77680cc0133c6f2,en,Koya University,Research,,,,train,
167,Three Professors from the Faculty of Physical Education and Sports Sciences at Koya University Participate in an International Conference,"The Dean of the Faculty of Physical Education and Sports Sciences at Koya University, Assist. Prof. Dr. Nabaz Abdullah, and Assist. Prof. Dr. Amira Mohammed Daham participated in an international conference held at the University of Misan.",https://koyauniversity.org/node/1153,cb67bbbb75ef7d60940ebb6710c5fa07d90531219dacc40275edc601d25a1fec,en,Koya University,Research,,,,train,
168,Koya University to Host an International Conference in Collaboration with Ibn Khaldun College,"Koya University, in collaboration with Ibn Khaldun College, Al-Warith Al-Anbiya University, and the Arab Mashreq Bank, plans to organize an international conference focusing on management and economics, law, and computer science and engineering.",https://koyauniversity.org/node/1154,f508e8a43cd12366b5810b0f264f9ca452318e1e3b093f7ba8fd8fed7db399e5,en,Koya University,Research,,,,train,
169,Koya University Holds a Memorial Ceremony for Dr. Qaraman Nader Sheikh Bazeni,"Koya University held a memorial ceremony marking the 40th day since the passing of Dr. Qaraman Nader Sheikh Bazeni, Assistant Professor and Vice President for Student Affairs at Koya University, in honor of his memory and service.",https://koyauniversity.org/node/1130,19daeefc04c625a144825b95af9de85c8df97a39429e6a3aa47e8588da65c146,en,Koya University,Research,,,,train,
170,The Directorate of Research and Development Centers at Koya University held a course on how to write research papers,"Aiming to enhance the academic writing skills of faculty members and postgraduate students at Koya University, the Directorate of Research and Development Centers organized a course titled ""How to Write Research Papers,"" with the participation of 190 faculty members and researchers from the university. The course lasted six days.",https://koyauniversity.org/node/1149,1effe8ac9e62deb0ad2808ec6906acadad8d168ddc4cf23688a03b37f4a677a6,en,Koya University,Research,,,,train,
171,President of Koya University Presents a Plaque of Appreciation to the Deputy Minister of Natural Resources of the Kurdistan Regional Government,"In recognition of his continued support for Koya University, particularly during the preparations and organization of the 3rd International Conference on Oil under the theme ""Waste Management in the Oil and Gas Industry,"" held from April 28 to 30, 2024, the President of Koya University, Asst. Prof. Dr. Mohammed Haseeb Siddiq, presented a plaque of appreciation to the Deputy Minister of Natural Resources of the Kurdistan Regional Government, Mr. Ahmed Ihsan Mufti.",https://koyauniversity.org/node/1135,af7b6254184c4f7cd81c3b86617b4fe60fb50a365793b2784e488491cfc722ce,en,Koya University,Research,,,,train,
172,Koya University Publishes Several Books Within Its Strategic Plan Over the Past Year,"Koya University Publishes Several Books Within Its Strategic Plan Over the Past Year Under its strategic plan and specifically the pillar of ""Community Service,"" Koya University has published several books authored by local writers and researchers during the year 2024. Koya University’s strategic plan , announced in September 2023, serves as a forward-looking roadmap designed to address the needs of local, regional, and global communities. This milestone represents a historic and significant step for the university, aligning its objectives with seven key pillars. Community Service, or ""Providing Services to Society,"" is the third pillar of Koya University's strategic plan. It aims to enhance the university's role as an academic institution and establish mutually beneficial relationships between the dynamic community and the university as a higher academic center. As part of this mission, the university has focused on publishing various books and materials to enrich the public library. In 2024, Koya University took on the task of publishing four diverse books. These works covered topics related to the Kurdish native language and dialects, the stories of Kurdish political prisoners during the former regime, speeches by President Jalal Talabani, and methods of literary research, marking significant contributions to the university's annual publications. The published books include: ""Hegbai Zarawa Rasanakan, Part Two,"" authored by Deceased Hamid Rashash; ""Hangawnan Baraw awdiwe diwarakani Zindan,"" authored by Imad Ghafoori; ""The Presidential Speeches of Mr. Jalal Talabani,"" authored by Dr. Bakhtiyar Ola ; and ""Methods of Literary Research,"" authored by Prof. Dr. Sanger Nazem .",https://koyauniversity.org/node/1208,91d92960d86cd5e0a9b2a1439a71e4482f0ee060931de2ae28908f255974de81,en,Koya University,Research,,,,train,
173,"President of Koya University Presents a Plaque to the Diplomatic Relations Advisor of the Kurdistan Regional Government’s Deputy Prime Minister's Office","In recognition of their efforts in facilitating collaboration and building relationships with consulates and foreign representatives to support the Third International Conference on the Oil Sector titled ""Managing Waste in the Oil and Gas Industry,"" held from April 28 to 30, 2024, the President of Koya University, Asst. Prof. Dr. Mohammed Haseeb Siddiq, presented a plaque to Dr. Peshawa Mohammed, Advisor and Head of the Diplomatic Relations Department in the Deputy Prime Minister's Office of the Kurdistan Regional Government.",https://koyauniversity.org/node/1136,db86545a23c933ddb5af10247361367aec2a2c87db3816f56502a5af2f7c79bf,en,Koya University,Research,,,,train,
174,President of Koya University Welcomes the Head of the Kurdish Institute in Italy and a Delegation from the University of Bologna,"The President of Koya University, Asst. Prof. Dr. Mohammed Haseeb Siddiq, welcomed the Head of the Kurdish Institute in Italy, Soran Yaseen Ahmed, and Asst. Prof. Dr. Luca Condida from the University of Bologna, along with their accompanying delegation.",https://koyauniversity.org/node/1163,c0ae4acaeaea34c739d761ed013d76c23887bd0060fd75a099c8b7378c720a2d,en,Koya University,Research,,,,train,
175,Three Professors from Koya University Participate in an International Symposium in Duhok,"Assist. Prof. Dr. Ilham Majid Qadir, Dean of the Faculty of Humanities and Social Sciences at Koya University, Dr. Mariwan Zahir, Head of the English Department at the Faculty of Humanities and Social Sciences, and Assist. Prof. Dr. Payman Zorab Aziz, Head of the English Department at the Faculty of Education, participated in the international symposium titled ""Interculturality and New Trends in Teaching-Learning English as a Foreign Language Symposium"" held in Duhok, Southern Kurdistan.",https://koyauniversity.org/node/1164,54ba0f8c14d0505d6623e03e489e96805bb4483cdf68eb6366db78fa7a170b1e,en,Koya University,Research,,,,train,
176,Koya University Delegation Participates in COP29 and Holds Key Meetings,"A delegation from Koya University, led by the university president, Asst. Prof. Dr. Mohammed Haseeb Siddiq, attended the COP29 conference in Azerbaijan.",https://koyauniversity.org/node/1146,3179ffdf84bab7f34986ff697e422f28c5dd231a79f827f6814826da0c1454e3,en,Koya University,Research,,,,train,
177,A Delegation from Koya University Participates in a Specialized Workshop for Education Faculties Across Iraq,"A delegation from Koya University participated in a workshop held at the University of Sulaymaniyah titled ""Academic Quality Assurance for Education Faculties' Programs.""",https://koyauniversity.org/node/1151,38ae7272991d74ab62fd4f0cec7cca6f9756a563a443f80e81a4b39a62660e98,en,Koya University,Research,,,,train,
178,A poetry evening was held at the Central Library of Koya University,"The Central Library Administration of Koya University organized a poetry evening featuring poets ""Hanar Mufti,"" ""Rawand Saleh,"" and ""Sharmin Wali.""",https://koyauniversity.org/node/1168,e8a791f9eb179d965950068bf0787284e81ee6795ffedbc40a176e0172d25048,en,Koya University,Research,,,,train,
179,Huawei Awards Certificates of Appreciation to a Lecturer and a Student from Koya University,"Following the achievements of the students from the Department of Software Engineering in the Huawei ICT Competition, Huawei awarded certificates of appreciation to a lecturer and a student from Koya University.",https://koyauniversity.org/node/1145,baf0fcc814863087fc3ccb4f5d8513ff27ebe17e33aab40bcc3867cc19dd9c60,en,Koya University,Research,,,,train,
180,"Professor Srusht Jawher Hawiz participated with a research paper in the scientific conference ""Sheikh Mohammed Khal and His Scientific Endeavors"" at Sulaimani University","Dr. Srusht Jawher Hawiz, a professor in the Kurdish Language Department at the Faculty of Education at Koya University, participated with a research paper in the scientific conference ""Sheikh Mohammed Khal and His Scientific Endeavors"" held in the city of Sulaimani in the Kurdistan Region.",https://koyauniversity.org/node/1167,08fd30582b04acd6c9e4ee7469f1efd27cb41845016d34ffb31fe2b0459005dc,en,Koya University,Student Life,,,,train,
181,"Lecturer ""Aram Osman Aziz"" from the College of Engineering, Koya University, Participates in an International Conference in Portugal","Lecturer ""Aram Osman Aziz,"" from the Department of Petroleum Engineering at the College of Engineering, Koya University, participated in the 5th International Conference on Civil Engineering Fundamentals and Applications (ICCEFA 2024) held in Lisbon, the capital of Portugal, with a collaborative research effort alongside four other researchers.",https://koyauniversity.org/node/1157,e5ebed5c614a1a2bfa5aa68e4e885f4c14ef5e5f92196e46e5317577b9bac1c0,en,Koya University,Research,,,,train,
182,"Professor Khalid Ismail Mustafa participated in a research paper at the ""4th International Conference on Psychology and Psychotherapy"" at Duhok University","Dr. Khalid Ismail Mustafa, a professor in the Clinical Psychology Department at the Faculty of Science and Health at Koya University, participated with a research paper in the 4th International Conference on Psychology and Psychotherapy held at Duhok University on November 3rd and 4th, 2024.",https://koyauniversity.org/node/1165,ccf8a3fbafc3878238662fa3e459f943dc0f575d9828c4caa783ed51e7ba8452,en,Koya University,Research,,,,train,
183,"Workshop on ""Green Economy in China: Key Insights, Challenges, and Opportunities for Sustainable Development"" Held at Koya University","A workshop titled ""Green Economy in China: Key Insights, Challenges, and Opportunities for Sustainable Development"" was presented by Ms. Hanaa Mohammed Ali at Koya University.",https://koyauniversity.org/node/1160,c98d9bc91f22198616ff52162d1becdc3204ae714d116c7125d992fa383b3616,en,Koya University,Research,,,,train,
184,"Workshop on ""A Healthy Individual and a Harmonious Society"" Held at Koya University","The Department of Education and Psychology at the Faculty of Education, Koya University, organized a workshop titled ""A Healthy Individual and a Harmonious Society.""",https://koyauniversity.org/node/1162,cab5e88e620e0ef464d2994479b8ef38f45fb79c6ebf9c9c9a27ed4d58b8bbad,en,Koya University,Research,,,,train,
185,"Workshop ""Kurds and Census: A Painful Past and an Uncertain Future"" Held at Koya University","The Geography Department of the Faculty of Education at Koya University organized a workshop on Iraq's general census process titled ""Kurds and Census: A Painful Past and an Uncertain Future.""",https://koyauniversity.org/node/1139,7b2089dce48de16ed2e738fada0b78dbc2119601b710c080a7a6d3bcfff84392,en,Koya University,Research,,,,train,
186,"Workshop on ""Formatting and Punctuation in Research Writing"" Held at Koya University","The ""Malai Gawra"" Center, affiliated with the Directorate of Research and Development Centers at Koya University, organized a workshop titled ""Formatting and Punctuation in Research Writing.""",https://koyauniversity.org/node/1155,96b92524106c770a84f64cb74fe5dee301157ed198deb96131baf2d3f117047c,en,Koya University,Research,,,,train,
187,"Workshop on ""Effectiveness of Psychological and Social Counseling in the Present and Future"" Held at Koya University","The Department of Education and Psychology at the College of Education, Koya University, in collaboration with Salahaddin, Sulaymaniyah, and Raparin Universities, organized a workshop titled ""Effectiveness of Psychological and Social Counseling in the Present and Future.""",https://koyauniversity.org/node/1132,33ae4c7537cb72cc14d59cd788271ca7840a7407bb6b51afce1194001c44744c,en,Koya University,Research,,,,train,
188,"Workshop on ""Sustainable Development from the Perspective of Accounting and Analysis"" Held at Koya University","The Department of Accounting at the Faculty of Humanities and Social Sciences at Koya University organized a workshop titled ""Sustainable Development from the Perspective of Accounting and Analysis"" on the occasion of International Accounting Day.",https://koyauniversity.org/node/1137,394d1f3ba7f996d13c96c91db577389bb44624fdc74e57f31bb79adaab269a59,en,Koya University,Research,,,,train,
189,Vice President of Koya University for Administrative and Financial Affairs Welcomes a Delegation from Soran University,"The Vice President of Koya University for Administrative and Financial Affairs, Assist. Prof. Dr. Yadgar Abdullah Ali, welcomed a delegation from Soran University led by their Vice President for Administrative and Financial Affairs, Assist. Prof. Dr. Sherzad Said.",https://koyauniversity.org/node/1152,50a9864513f9cdb83b5e56c7b8c141e0c6b9a7821f5f36c1bdeabadde221b0d6,en,Koya University,Research,,,,train,
190,Two Graduates from Koya University’s Faculty of Engineering Receive the First and Fifth Places in the “Qalat” Award at the Kurdistan Level,Two graduates from the Faculty of Engineering at Koya University have won the first and fifth places in the “Qalat” Award at the Kurdistan level.,https://koyauniversity.org/node/1169,0ece9d7cc321d19a6800dc80210cbfa5fc43ef1753442c17f428b3af5172d482,en,Koya University,Research,,,,train,
191,The President of Koya University Inspects Examination Halls at the Faculty of Education and the Faculty of Science and Health,The President of Koya University Inspects Examination Halls at the Faculty of Education and the Faculty of Science and Health,https://koyauniversity.org/node/1205,cf39db62212353a2cc7940547605d13eca89a16914e679b8f61fe5c2499e3ad7,en,Koya University,Research,,,,train,
192,A Lecturer at Koya University Recognized as a Leading Figure in the Field of English Language and Literature in Iraq,A professor at Koya University Recognized as a Leading Figure in the Field of English Language and Literature in Iraq,https://koyauniversity.org/node/1204,255c5af4863643ec4246c6546aa88e65e199ebc4557620751249875b248a3552,en,Koya University,Research,,,,train,
193,The President of Koya University Presents a Plaque of Appreciation to The Advisor of MOHE,The President of Koya University Presents a Plaque of Appreciation to The Advisor of MOHE,https://koyauniversity.org/node/1109,73b72f0b7eb8ceb2e7802679a58a050e2946e94d7f9a93402a31c3705837c33d,en,Koya University,Research,,,,train,
194,President of Koya University meets with the Supreme Committee for Combating Drugs,President of Koya University meets with the Supreme Committee for Combating Drugs,https://koyauniversity.org/node/1118,d0ac87713f6a47c78b0223057cdf8e847269146424a11dd7d67d6e5f50d665ee,en,Koya University,Research,,,,train,
195,A Lecturer from Koya University Participates in a International Conference,"A Lecturer from Koya University Participates in the Conference on ""The Role and Impact of Russian Orientalists in Introducing the Kurds and the Case of Kurdistan""",https://koyauniversity.org/node/1105,e776bc4cde6c1b17b714d34537618385747361d938e5f54650f94b8bc1d519a4,en,Koya University,Research,,,,train,
196,Meeting of the President of Koya University with the High Committee for Welcoming New Students,Meeting of the President of Koya University with the High Committee for Welcoming New Students,https://koyauniversity.org/node/1119,3411e142a4af6d2964b3918db10d3bff1e7e9e7aeb28ad6ffc547b3035fd5d8a,en,Koya University,Research,,,,train,
197,Koya University’s Faculty of Medicine Publishes Research on AI Tools as Educational Aids,Koya University’s Faculty of Medicine Publishes Research on AI Tools as Educational Aids,https://koyauniversity.org/node/1104,89fc1d8b04fb414f0b94f789c9c6772803de5570e6ebc56f7e357e4c59108aa4,en,Koya University,Research,,,,train,
198,"Workshop on ""Understanding Autism Spectrum Disorder and their Families"" Held at Koya University","Workshop on ""Understanding Autism Spectrum Disorder and their Families"" Held at Koya University",https://koyauniversity.org/node/1111,b0d80c92961f30579f549cb4d6ab40e496dc366c283e80dfa9290d94011440df,en,Koya University,Research,,,,train,
199,Statement of the President of Koya University on the 21st Anniversary of Its Establishment,Statement of the President of Koya University on the 21st Anniversary of Its Establishment,https://koyauniversity.org/node/1203,5ea7a9db4a9a41be7ba45bd47f86005b40df75ea10232ea75a9475c285131828,en,Koya University,Research,,,,train,
200,"Three-Day Training Course Held at the Faculty of Engineering, Koya University","Three-Day Training Course Held at the Faculty of Engineering, Koya University",https://koyauniversity.org/node/1125,1943ac00f636c51532474081765f274c9b982c173f7019c89314edc9d1ad463e,en,Koya University,Research,,,,train,
201,"An International Training Course Held at the Faculty of Engineering, Koya University","An International Training Course Held at the Faculty of Engineering, Koya University",https://koyauniversity.org/node/1114,73b7f664a835f90217887fd74cb2c221e1002f98cba512558d10d620a2031dff,en,Koya University,Research,,,,train,
202,Medical Microbiology Students of Koya University Organize a Health Awareness Activity,Medical Microbiology Students of Koya University Organize a Health Awareness Activity,https://koyauniversity.org/node/1124,87773ac6eaecb42ed94574ab37a452bc85c6da2a0761a32518b171498da4e39f,en,Koya University,Research,,,,train,
203,Koya University and Amol University of Iran Sign a Memorandum of Understanding for Joint Collaboration,Koya University and Amol University of Iran Sign a Memorandum of Understanding for Joint Collaboration,https://koyauniversity.org/node/1121,d8d828091d81d56e9156ed06482caa9b55b8947f79ccbdf67942706279450d36,en,Koya University,Research,,,,train,
